Chromosome,Start,End,Length (bp),Number of Covered CpGs,Mean Difference in Block (Normal to Cancer),Mean Normal Methylation in Block,Percentage of evidence from Watson Strand (Normal),Percentage of evidence from Watson Strand (Cancer),Direction of Methylation Change,Block Identifier #
chr18,43856970,43906128,49159,465,-0.157,0.799,0.513,0.533,hypo,Block:13850
chr18,43920235,44329194,408960,3438,-0.194,0.73,0.498,0.498,hypo,Block:13851
chr18,44345612,44387457,41846,204,-0.1,0.79,0.452,0.426,hypo,Block:13852
chr18,44537948,44624859,86912,658,-0.127,0.836,0.549,0.544,hypo,Block:13853
chr18,44710084,44768387,58304,263,-0.2,0.641,0.499,0.488,hypo,Block:13854
chr18,44772254,44777612,5359,309,0.111,0.26,0.519,0.454,hyper,Block:13855
chr18,44778141,44789717,11577,271,0.148,0.222,0.477,0.487,hyper,Block:13856
chr18,44797080,45275380,478301,2889,-0.196,0.714,0.503,0.512,hypo,Block:13857
chr18,45275867,45339124,63258,490,-0.141,0.72,0.469,0.479,hypo,Block:13858
chr18,45435834,45449513,13680,100,-0.113,0.82,0.47,0.478,hypo,Block:13859
chr18,45465542,45534553,69012,454,-0.127,0.727,0.504,0.502,hypo,Block:13860
chr18,45535048,45657203,122156,1226,-0.147,0.748,0.509,0.506,hypo,Block:13861
chr18,45672940,45687771,14832,112,-0.093,0.662,0.521,0.509,hypo,Block:13862
chr18,45688555,45932596,244042,1866,-0.151,0.737,0.473,0.472,hypo,Block:13863
chr18,45940700,45983464,42765,355,-0.134,0.667,0.482,0.523,hypo,Block:13864
chr18,45991853,46059994,68142,337,-0.115,0.74,0.479,0.466,hypo,Block:13865
chr18,46103237,46112744,9508,111,-0.054,0.867,0.593,0.56,hypo,Block:13866
chr18,46127041,46140981,13941,147,-0.068,0.817,0.549,0.529,hypo,Block:13867
chr18,46171695,46190272,18578,144,-0.057,0.822,0.499,0.529,hypo,Block:13868
chr18,46200004,46207470,7467,125,-0.052,0.783,0.483,0.487,hypo,Block:13869
chr18,46242361,46259281,16921,205,-0.059,0.849,0.514,0.533,hypo,Block:13870
chr18,46266549,46284219,17671,224,-0.057,0.879,0.482,0.502,hypo,Block:13871
chr18,46331800,46337754,5955,40,-0.051,0.818,0.594,0.632,hypo,Block:13872
chr18,46349746,46359312,9567,117,0.09,0.688,0.503,0.491,hyper,Block:13873
chr18,46370730,46376836,6107,63,-0.051,0.855,0.508,0.495,hypo,Block:13874
chr18,46395712,46409364,13653,180,-0.079,0.83,0.5,0.502,hypo,Block:13875
chr18,46529126,46542608,13483,154,-0.074,0.829,0.481,0.457,hypo,Block:13876
chr18,46550108,46562250,12143,145,-0.065,0.804,0.523,0.539,hypo,Block:13877
chr18,47025787,47039394,13608,87,-0.055,0.719,0.562,0.537,hypo,Block:13878
chr18,47065483,47080180,14698,73,-0.06,0.752,0.581,0.588,hypo,Block:13879
chr18,47157123,47164188,7066,45,0.062,0.71,0.482,0.451,hyper,Block:13880
chr18,47419271,47439027,19757,187,0.056,0.776,0.498,0.493,hyper,Block:13881
chr18,47677701,47683727,6027,36,-0.064,0.737,0.465,0.499,hypo,Block:13882
chr18,47730759,47783515,52757,270,-0.094,0.749,0.482,0.466,hypo,Block:13883
chr18,47832855,47886652,53798,264,-0.111,0.667,0.544,0.508,hypo,Block:13884
chr18,47936380,48078953,142574,685,-0.156,0.709,0.508,0.508,hypo,Block:13885
chr18,48087817,48378625,290809,2250,-0.162,0.738,0.495,0.501,hypo,Block:13886
chr18,48470440,48481725,11286,62,-0.059,0.81,0.488,0.467,hypo,Block:13887
chr18,48548854,48556259,7406,63,0.053,0.377,0.506,0.479,hyper,Block:13888
chr18,48610987,48695134,84148,615,-0.127,0.789,0.518,0.512,hypo,Block:13889
chr18,48729425,49862016,1132592,5089,-0.186,0.725,0.518,0.524,hypo,Block:13890
chr18,49874150,51672300,1798151,7648,-0.193,0.735,0.515,0.511,hypo,Block:13891
chr18,51755942,51774529,18588,149,-0.146,0.786,0.472,0.49,hypo,Block:13892
chr18,51811802,51867892,56091,204,-0.148,0.818,0.536,0.573,hypo,Block:13893
chr18,51897592,52059099,161508,635,-0.174,0.731,0.53,0.537,hypo,Block:13894
chr18,52209649,52495432,285784,1184,-0.133,0.746,0.505,0.506,hypo,Block:13895
chr18,52510785,52553160,42376,228,-0.056,0.779,0.505,0.506,hypo,Block:13896
chr18,52633520,52987277,353758,2018,-0.134,0.739,0.486,0.486,hypo,Block:13897
chr18,52993794,53245965,252172,1520,-0.182,0.724,0.413,0.416,hypo,Block:13898
chr18,53263885,53441163,177279,830,-0.202,0.755,0.517,0.51,hypo,Block:13899
chr18,53453587,54276050,822464,4121,-0.202,0.752,0.492,0.494,hypo,Block:13900
chr18,54539825,54559250,19426,87,-0.049,0.888,0.513,0.495,hypo,Block:13901
chr18,54704820,54719006,14187,121,-0.053,0.812,0.522,0.473,hypo,Block:13902
chr18,54725801,55014027,288227,1811,-0.134,0.717,0.493,0.496,hypo,Block:13903
chr18,55021604,55088024,66421,287,-0.17,0.659,0.47,0.475,hypo,Block:13904
chr18,55095913,55102355,6443,210,0.067,0.186,0.523,0.54,hyper,Block:13905
chr18,55108881,55116168,7288,80,0.112,0.28,0.552,0.534,hyper,Block:13906
chr18,55120194,55221679,101486,717,-0.14,0.768,0.497,0.51,hypo,Block:13907
chr18,55255558,55267067,11510,88,-0.062,0.723,0.466,0.502,hypo,Block:13908
chr18,55478093,55674977,196885,1121,-0.073,0.789,0.518,0.517,hypo,Block:13909
chr18,55686783,55699613,12831,78,-0.065,0.761,0.54,0.572,hypo,Block:13910
chr18,55703676,55708931,5256,26,0.063,0.259,0.521,0.455,hyper,Block:13911
chr18,55719481,55728860,9380,64,-0.077,0.751,0.605,0.63,hypo,Block:13912
chr18,55781139,55788899,7761,93,-0.049,0.801,0.527,0.571,hypo,Block:13913
chr18,56078864,56148730,69867,592,-0.078,0.818,0.514,0.514,hypo,Block:13914
chr18,56205125,56218779,13655,109,-0.051,0.791,0.486,0.471,hypo,Block:13915
chr18,56228530,56331308,102779,705,-0.099,0.836,0.497,0.493,hypo,Block:13916
chr18,56442050,56475703,33654,271,-0.075,0.714,0.519,0.529,hypo,Block:13917
chr18,56520442,56530374,9933,82,-0.072,0.599,0.57,0.61,hypo,Block:13918
chr18,56648972,56805377,156406,1130,-0.122,0.754,0.526,0.524,hypo,Block:13919
chr18,56827539,56881712,54174,337,-0.153,0.735,0.5,0.511,hypo,Block:13920
chr18,56899546,56919819,20274,111,-0.15,0.682,0.512,0.515,hypo,Block:13921
chr18,56948162,56975665,27504,215,-0.144,0.606,0.559,0.54,hypo,Block:13922
chr18,56976186,56994566,18381,131,-0.095,0.706,0.583,0.587,hypo,Block:13923
chr18,57034043,57354469,320427,2149,-0.177,0.722,0.479,0.474,hypo,Block:13924
chr18,57377024,57522055,145032,835,-0.152,0.724,0.509,0.513,hypo,Block:13925
chr18,57576653,58987404,1410752,6335,-0.197,0.736,0.507,0.514,hypo,Block:13926
chr18,59015870,59306221,290352,1628,-0.166,0.714,0.463,0.471,hypo,Block:13927
chr18,59319485,59553515,234031,1391,-0.149,0.794,0.471,0.472,hypo,Block:13928
chr18,59567768,59713435,145668,819,-0.171,0.795,0.494,0.495,hypo,Block:13929
chr18,59828148,59838591,10444,55,-0.062,0.816,0.453,0.491,hypo,Block:13930
chr18,59858391,59867015,8625,33,0.052,0.345,0.561,0.534,hyper,Block:13931
chr18,59978543,59986888,8346,42,-0.077,0.636,0.439,0.491,hypo,Block:13932
chr18,60070234,60081768,11535,100,-0.05,0.807,0.488,0.477,hypo,Block:13933
chr18,60137522,60186199,48678,274,-0.07,0.732,0.465,0.489,hypo,Block:13934
chr18,60269377,60378584,109208,761,-0.14,0.778,0.524,0.519,hypo,Block:13935
chr18,60386672,60393370,6699,45,0.056,0.477,0.62,0.592,hyper,Block:13936
chr18,60404477,60432048,27572,157,0.08,0.738,0.624,0.616,hyper,Block:13937
chr18,60529873,60555879,26007,121,0.051,0.818,0.566,0.577,hyper,Block:13938
chr18,60652259,60789923,137665,1267,-0.11,0.801,0.513,0.503,hypo,Block:13939
chr18,60883966,60896952,12987,81,-0.05,0.784,0.456,0.442,hypo,Block:13940
chr18,61038635,61057090,18456,68,-0.107,0.74,0.511,0.476,hypo,Block:13941
chr18,61092845,61122314,29470,184,-0.088,0.684,0.5,0.492,hypo,Block:13942
chr18,61127696,61149847,22152,158,-0.08,0.744,0.55,0.532,hypo,Block:13943
chr18,61174562,61603221,428660,2032,-0.197,0.702,0.524,0.523,hypo,Block:13944
chr18,61608927,61630531,21605,145,-0.104,0.595,0.484,0.482,hypo,Block:13945
chr18,61656186,63406057,1749872,7948,-0.176,0.741,0.511,0.515,hypo,Block:13946
chr18,63434697,63512610,77914,396,-0.126,0.743,0.541,0.549,hypo,Block:13947
chr18,63608495,65175021,1566527,6478,-0.193,0.733,0.5,0.497,hypo,Block:13948
chr18,65187681,66347819,1160139,5141,-0.196,0.726,0.495,0.496,hypo,Block:13949
chr18,66389447,67057318,667872,3022,-0.216,0.747,0.528,0.522,hypo,Block:13950
chr18,67061114,67067460,6347,47,0.118,0.284,0.459,0.472,hyper,Block:13951
chr18,67077165,67610544,533380,2706,-0.189,0.782,0.495,0.494,hypo,Block:13952
chr18,67624651,67640930,16280,106,-0.057,0.823,0.459,0.469,hypo,Block:13953
chr18,67879650,67896544,16895,100,-0.08,0.623,0.481,0.481,hypo,Block:13954
chr18,67921657,67930437,8781,51,-0.072,0.798,0.522,0.524,hypo,Block:13955
chr18,67937313,67945226,7914,51,-0.065,0.829,0.45,0.463,hypo,Block:13956
chr18,67949319,67954951,5633,28,0.07,0.322,0.55,0.569,hyper,Block:13957
chr18,67966088,67971909,5822,41,-0.069,0.78,0.606,0.591,hypo,Block:13958
chr18,68101304,70202653,2101350,9934,-0.197,0.731,0.512,0.514,hypo,Block:13959
chr18,70219384,70528305,308922,1976,-0.182,0.708,0.483,0.485,hypo,Block:13960
chr18,70543641,71812279,1268639,7152,-0.191,0.735,0.489,0.487,hypo,Block:13961
chr18,71833642,71899216,65575,680,-0.1,0.755,0.491,0.491,hypo,Block:13962
chr18,71906919,71923285,16367,162,-0.061,0.795,0.501,0.507,hypo,Block:13963
chr18,71964707,72030930,66224,357,-0.11,0.777,0.513,0.525,hypo,Block:13964
chr18,72041327,72118158,76832,955,-0.129,0.803,0.504,0.507,hypo,Block:13965
chr18,72130691,72158173,27483,239,-0.083,0.715,0.516,0.507,hypo,Block:13966
chr18,72237539,72260462,22924,203,-0.092,0.726,0.515,0.513,hypo,Block:13967
chr18,72554666,72564180,9515,83,-0.049,0.855,0.438,0.418,hypo,Block:13968
chr18,72775331,72903973,128643,1974,-0.137,0.838,0.522,0.517,hypo,Block:13969
chr18,73006326,73167312,160987,1721,-0.143,0.797,0.506,0.521,hypo,Block:13970
chr18,73167946,73626705,458760,3965,-0.181,0.762,0.508,0.507,hypo,Block:13971
chr18,73630898,74060283,429386,3549,-0.184,0.756,0.481,0.487,hypo,Block:13972
chr18,74157405,74168415,11011,194,0.073,0.621,0.403,0.392,hyper,Block:13973
chr18,74211144,74230489,19346,208,-0.124,0.732,0.475,0.489,hypo,Block:13974
chr18,74239949,74510071,270123,3185,-0.128,0.75,0.501,0.506,hypo,Block:13975
chr18,74624374,74633298,8925,115,0.053,0.817,0.617,0.614,hyper,Block:13976
chr18,74697138,74714161,17024,367,-0.067,0.806,0.491,0.492,hypo,Block:13977
chr18,74847006,74955311,108306,1107,-0.145,0.774,0.525,0.514,hypo,Block:13978
chr18,74971549,75611875,640327,5424,-0.177,0.749,0.519,0.519,hypo,Block:13979
chr18,75612199,75721792,109594,1278,-0.152,0.734,0.509,0.515,hypo,Block:13980
chr18,75772080,76003159,231080,2864,-0.167,0.783,0.504,0.511,hypo,Block:13981
chr18,76008161,76728287,720127,11194,-0.141,0.783,0.483,0.487,hypo,Block:13982
chr18,76741256,76747276,6021,119,0.124,0.32,0.56,0.599,hyper,Block:13983
chr18,76751800,76824306,72507,1221,-0.117,0.828,0.502,0.51,hypo,Block:13984
chr18,76835793,76850549,14757,76,-0.097,0.877,0.567,0.608,hypo,Block:13985
chr18,77165219,77260773,95555,3170,-0.118,0.84,0.508,0.514,hypo,Block:13986
chr18,77269475,77433615,164141,3911,-0.1,0.752,0.505,0.517,hypo,Block:13987
chr18,77518856,77546148,27293,602,-0.117,0.763,0.502,0.486,hypo,Block:13988
chr18,77562438,77655878,93441,1910,-0.114,0.792,0.511,0.518,hypo,Block:13989
chr18,77755343,77787233,31891,222,-0.088,0.817,0.518,0.535,hypo,Block:13990
chr18,77813285,77864932,51648,486,-0.133,0.81,0.525,0.527,hypo,Block:13991
chr18,77922270,78000331,78062,960,-0.151,0.766,0.451,0.453,hypo,Block:13992
chr18,78010620,78016976,6357,52,-0.152,0.765,0.524,0.457,hypo,Block:13993
chr19,72178,110437,38260,22,-0.139,0.778,0.726,0.663,hypo,Block:13994
chr19,240862,247157,6296,8,-0.06,0.825,0.401,0.437,hypo,Block:13995
chr19,271135,280493,9359,124,0.059,0.708,0.443,0.395,hyper,Block:13996
chr19,346278,457751,111474,2491,-0.105,0.688,0.495,0.492,hypo,Block:13997
chr19,462338,470965,8628,123,-0.065,0.436,0.508,0.479,hypo,Block:13998
chr19,512627,529094,16468,361,-0.084,0.541,0.486,0.531,hypo,Block:13999
chr19,541999,551289,9291,235,-0.113,0.605,0.505,0.496,hypo,Block:14000
chr19,551924,561378,9455,166,-0.123,0.542,0.582,0.595,hypo,Block:14001
chr19,591746,603985,12240,314,-0.128,0.498,0.504,0.5,hypo,Block:14002
chr19,633735,639514,5780,132,-0.049,0.429,0.51,0.491,hypo,Block:14003
chr19,663355,671971,8617,126,-0.061,0.312,0.503,0.467,hypo,Block:14004
chr19,682421,705608,23188,469,-0.112,0.561,0.476,0.484,hypo,Block:14005
chr19,715816,733517,17702,443,-0.092,0.549,0.539,0.527,hypo,Block:14006
chr19,746909,763027,16119,368,-0.075,0.662,0.525,0.508,hypo,Block:14007
chr19,766748,790108,23361,347,-0.092,0.662,0.502,0.482,hypo,Block:14008
chr19,812734,821312,8579,236,-0.068,0.835,0.533,0.484,hypo,Block:14009
chr19,822688,834463,11776,206,-0.089,0.438,0.514,0.507,hypo,Block:14010
chr19,848149,858846,10698,276,-0.076,0.376,0.49,0.506,hypo,Block:14011
chr19,1001024,1008896,7873,298,-0.074,0.746,0.495,0.491,hypo,Block:14012
chr19,1041661,1064105,22445,569,-0.07,0.73,0.48,0.468,hypo,Block:14013
chr19,1178498,1192871,14374,149,-0.066,0.501,0.487,0.49,hypo,Block:14014
chr19,1220944,1236936,15993,684,0.084,0.68,0.465,0.502,hyper,Block:14015
chr19,1305741,1315767,10027,293,-0.074,0.597,0.501,0.522,hypo,Block:14016
chr19,1316125,1324939,8815,198,-0.088,0.498,0.523,0.519,hypo,Block:14017
chr19,1325359,1351088,25730,376,-0.098,0.667,0.511,0.493,hypo,Block:14018
chr19,1394825,1401048,6224,201,-0.057,0.443,0.495,0.507,hypo,Block:14019
chr19,1457683,1465186,7504,138,0.083,0.383,0.492,0.498,hyper,Block:14020
chr19,1471292,1477643,6352,204,0.081,0.312,0.527,0.492,hyper,Block:14021
chr19,1524668,1538990,14323,302,-0.113,0.627,0.475,0.495,hypo,Block:14022
chr19,1608278,1615207,6930,173,0.054,0.741,0.567,0.492,hyper,Block:14023
chr19,1644205,1650452,6248,207,0.059,0.603,0.472,0.489,hyper,Block:14024
chr19,1655912,1671949,16038,225,-0.088,0.443,0.505,0.477,hypo,Block:14025
chr19,1676190,1718453,42264,610,-0.114,0.58,0.536,0.51,hypo,Block:14026
chr19,1727839,1739364,11526,225,-0.067,0.598,0.541,0.544,hypo,Block:14027
chr19,1780394,1789438,9045,181,-0.067,0.473,0.487,0.499,hypo,Block:14028
chr19,1789900,1811912,22013,471,-0.13,0.56,0.471,0.477,hypo,Block:14029
chr19,1836772,1842530,5759,155,0.051,0.699,0.505,0.472,hyper,Block:14030
chr19,1899254,1905046,5793,57,-0.069,0.39,0.498,0.509,hypo,Block:14031
chr19,1931831,1940234,8404,113,-0.062,0.314,0.476,0.448,hypo,Block:14032
chr19,2018317,2028746,10430,93,-0.058,0.569,0.476,0.537,hypo,Block:14033
chr19,2082541,2096038,13498,214,0.084,0.494,0.476,0.478,hyper,Block:14034
chr19,2237138,2242352,5215,121,-0.088,0.48,0.516,0.538,hypo,Block:14035
chr19,2253992,2261432,7441,113,0.151,0.349,0.497,0.528,hyper,Block:14036
chr19,2274092,2283248,9157,253,-0.083,0.437,0.543,0.552,hypo,Block:14037
chr19,2332209,2338511,6303,177,-0.051,0.699,0.577,0.582,hypo,Block:14038
chr19,2360789,2391784,30996,380,-0.122,0.614,0.548,0.547,hypo,Block:14039
chr19,2397967,2420173,22207,257,-0.083,0.815,0.494,0.491,hypo,Block:14040
chr19,2464498,2474582,10085,86,-0.071,0.257,0.57,0.574,hypo,Block:14041
chr19,2498716,2543611,44896,742,-0.199,0.699,0.526,0.519,hypo,Block:14042
chr19,2543939,2578938,35000,653,-0.111,0.723,0.462,0.463,hypo,Block:14043
chr19,2579800,2610893,31094,369,-0.122,0.513,0.48,0.493,hypo,Block:14044
chr19,2614159,2699963,85805,1269,-0.194,0.729,0.478,0.482,hypo,Block:14045
chr19,2710422,2720586,10165,209,-0.084,0.615,0.486,0.501,hypo,Block:14046
chr19,2721800,2728215,6416,158,-0.057,0.638,0.475,0.455,hypo,Block:14047
chr19,2857886,2900153,42268,457,-0.089,0.757,0.517,0.514,hypo,Block:14048
chr19,2957099,2965575,8477,63,-0.11,0.572,0.504,0.474,hypo,Block:14049
chr19,2982213,2999344,17132,267,-0.1,0.692,0.475,0.501,hypo,Block:14050
chr19,3036759,3047211,10453,156,-0.073,0.459,0.465,0.485,hypo,Block:14051
chr19,3068327,3086208,17882,157,-0.078,0.504,0.544,0.558,hypo,Block:14052
chr19,3124650,3145930,21281,253,-0.103,0.601,0.523,0.498,hypo,Block:14053
chr19,3176887,3185679,8793,219,-0.081,0.51,0.486,0.521,hypo,Block:14054
chr19,3186536,3193019,6484,247,-0.095,0.628,0.523,0.541,hypo,Block:14055
chr19,3215102,3224734,9633,142,-0.067,0.568,0.547,0.52,hypo,Block:14056
chr19,3229045,3275549,46505,531,-0.137,0.588,0.542,0.532,hypo,Block:14057
chr19,3275991,3285786,9796,187,-0.071,0.459,0.546,0.554,hypo,Block:14058
chr19,3286134,3330538,44405,597,-0.118,0.574,0.512,0.519,hypo,Block:14059
chr19,3336852,3355159,18308,225,-0.102,0.576,0.515,0.501,hypo,Block:14060
chr19,3367540,3379039,11500,208,0.075,0.526,0.532,0.522,hyper,Block:14061
chr19,3560545,3572516,11972,130,-0.067,0.344,0.565,0.549,hypo,Block:14062
chr19,3700645,3712726,12082,144,-0.064,0.314,0.543,0.538,hypo,Block:14063
chr19,3768673,3781669,12997,317,-0.083,0.612,0.494,0.506,hypo,Block:14064
chr19,3801854,3821937,20084,524,-0.102,0.693,0.518,0.504,hypo,Block:14065
chr19,3822331,3868507,46177,777,-0.152,0.751,0.466,0.472,hypo,Block:14066
chr19,3885668,3933431,47764,560,-0.131,0.759,0.505,0.512,hypo,Block:14067
chr19,3933856,3954539,20684,281,-0.105,0.73,0.491,0.481,hypo,Block:14068
chr19,3964601,3969785,5185,114,-0.048,0.653,0.511,0.5,hypo,Block:14069
chr19,3989556,4002088,12533,64,-0.06,0.422,0.541,0.546,hypo,Block:14070
chr19,4068069,4082341,14273,149,-0.064,0.36,0.528,0.503,hypo,Block:14071
chr19,4124948,4173088,48141,425,-0.137,0.554,0.548,0.53,hypo,Block:14072
chr19,4173671,4178938,5268,110,-0.08,0.545,0.501,0.464,hypo,Block:14073
chr19,4189362,4197254,7893,82,-0.096,0.497,0.544,0.548,hypo,Block:14074
chr19,4198728,4243235,44508,527,-0.15,0.676,0.495,0.505,hypo,Block:14075
chr19,4281806,4292862,11057,138,-0.067,0.519,0.518,0.533,hypo,Block:14076
chr19,4305178,4321956,16779,195,-0.149,0.762,0.521,0.532,hypo,Block:14077
chr19,4326265,4335852,9588,203,0.084,0.65,0.512,0.491,hyper,Block:14078
chr19,4458072,4464530,6459,45,-0.058,0.425,0.528,0.491,hypo,Block:14079
chr19,4506097,4531586,25490,482,-0.143,0.741,0.479,0.503,hypo,Block:14080
chr19,4535357,4558324,22968,501,-0.167,0.65,0.495,0.508,hypo,Block:14081
chr19,4558608,4580443,21836,278,-0.13,0.508,0.465,0.459,hypo,Block:14082
chr19,4585246,4595228,9983,97,-0.077,0.299,0.502,0.498,hypo,Block:14083
chr19,4607370,4636187,28818,247,-0.125,0.473,0.498,0.505,hypo,Block:14084
chr19,4724778,4759733,34956,313,-0.133,0.542,0.49,0.488,hypo,Block:14085
chr19,4760112,4785535,25424,247,-0.106,0.506,0.498,0.487,hypo,Block:14086
chr19,4796620,4812230,15611,166,-0.116,0.657,0.449,0.435,hypo,Block:14087
chr19,4839393,4849133,9741,98,0.062,0.787,0.479,0.467,hyper,Block:14088
chr19,4862553,4906460,43908,380,-0.128,0.604,0.484,0.502,hypo,Block:14089
chr19,5153189,5229555,76367,986,-0.158,0.81,0.518,0.524,hypo,Block:14090
chr19,5229897,5292974,63078,1039,-0.196,0.785,0.502,0.498,hypo,Block:14091
chr19,5294246,5336000,41755,608,-0.137,0.633,0.48,0.486,hypo,Block:14092
chr19,5343211,5436564,93354,903,-0.125,0.591,0.498,0.499,hypo,Block:14093
chr19,5443511,5536510,93000,1061,-0.135,0.652,0.49,0.498,hypo,Block:14094
chr19,5536832,5567500,30669,313,-0.122,0.595,0.519,0.534,hypo,Block:14095
chr19,5567942,5573045,5104,56,-0.066,0.491,0.589,0.526,hypo,Block:14096
chr19,5722921,5782749,59829,491,-0.126,0.708,0.53,0.528,hypo,Block:14097
chr19,5853855,5892090,38236,397,-0.119,0.655,0.492,0.491,hypo,Block:14098
chr19,5905241,5920347,15107,279,0.095,0.719,0.474,0.498,hyper,Block:14099
chr19,6008504,6019451,10948,180,-0.06,0.847,0.517,0.514,hypo,Block:14100
chr19,6079471,6092023,12553,109,-0.069,0.628,0.457,0.494,hypo,Block:14101
chr19,6099477,6106648,7172,75,0.055,0.629,0.524,0.539,hyper,Block:14102
chr19,6113101,6199263,86163,599,-0.163,0.715,0.527,0.534,hypo,Block:14103
chr19,6199555,6206260,6706,80,-0.065,0.547,0.539,0.523,hypo,Block:14104
chr19,6267594,6273889,6296,203,0.051,0.751,0.485,0.468,hyper,Block:14105
chr19,6282970,6354751,71782,425,-0.176,0.695,0.533,0.517,hypo,Block:14106
chr19,6399529,6407140,7612,78,-0.06,0.672,0.565,0.539,hypo,Block:14107
chr19,6416656,6422426,5771,144,0.054,0.632,0.482,0.517,hyper,Block:14108
chr19,6429599,6439350,9752,95,-0.074,0.704,0.459,0.512,hypo,Block:14109
chr19,6474248,6502044,27797,385,-0.114,0.612,0.488,0.504,hypo,Block:14110
chr19,6502486,6516369,13884,119,-0.074,0.462,0.504,0.51,hypo,Block:14111
chr19,6545195,6580623,35429,184,-0.126,0.699,0.527,0.524,hypo,Block:14112
chr19,6602612,6732381,129770,1275,-0.152,0.742,0.503,0.506,hypo,Block:14113
chr19,6773874,7027450,253577,1733,-0.16,0.761,0.514,0.515,hypo,Block:14114
chr19,7039467,7069384,29918,46,-0.109,0.501,0.372,0.409,hypo,Block:14115
chr19,7092029,7098818,6790,53,-0.085,0.582,0.44,0.39,hypo,Block:14116
chr19,7099734,7113708,13975,109,-0.078,0.577,0.48,0.483,hypo,Block:14117
chr19,7179400,7189367,9968,93,0.056,0.714,0.513,0.533,hyper,Block:14118
chr19,7280317,7289099,8783,54,0.066,0.763,0.531,0.469,hyper,Block:14119
chr19,7295166,7316579,21414,67,-0.101,0.381,0.518,0.504,hypo,Block:14120
chr19,7396088,7453425,57338,472,-0.138,0.733,0.533,0.513,hypo,Block:14121
chr19,7542243,7553400,11158,200,-0.072,0.694,0.489,0.479,hypo,Block:14122
chr19,7605288,7615677,10390,202,0.055,0.761,0.512,0.483,hyper,Block:14123
chr19,7626553,7656122,29570,224,-0.13,0.665,0.534,0.524,hypo,Block:14124
chr19,7718893,7734997,16105,124,-0.085,0.513,0.461,0.491,hypo,Block:14125
chr19,7735510,7740763,5254,51,-0.068,0.401,0.501,0.535,hypo,Block:14126
chr19,7748385,7789829,41445,442,-0.147,0.635,0.489,0.48,hypo,Block:14127
chr19,7797703,7846457,48755,366,-0.154,0.645,0.508,0.538,hypo,Block:14128
chr19,7867246,7913772,46527,524,-0.081,0.65,0.522,0.52,hypo,Block:14129
chr19,7925425,7930798,5374,261,0.054,0.353,0.507,0.512,hyper,Block:14130
chr19,7946329,7951525,5197,29,-0.052,0.522,0.612,0.547,hypo,Block:14131
chr19,8082233,8115219,32987,271,-0.118,0.668,0.512,0.518,hypo,Block:14132
chr19,8115553,8213118,97566,1192,-0.166,0.743,0.51,0.51,hypo,Block:14133
chr19,8222914,8265700,42787,227,-0.162,0.674,0.483,0.473,hypo,Block:14134
chr19,8278145,8336784,58640,461,-0.244,0.772,0.536,0.544,hypo,Block:14135
chr19,8357096,8370192,13097,78,0.083,0.593,0.481,0.512,hyper,Block:14136
chr19,8389962,8397934,7973,53,0.071,0.268,0.517,0.52,hyper,Block:14137
chr19,8408891,8423131,14241,102,-0.072,0.346,0.524,0.47,hypo,Block:14138
chr19,8559114,8570281,11168,196,-0.08,0.717,0.521,0.52,hypo,Block:14139
chr19,8591865,8640258,48394,454,-0.112,0.804,0.526,0.512,hypo,Block:14140
chr19,8651509,8656737,5229,77,-0.062,0.571,0.52,0.534,hypo,Block:14141
chr19,8658113,8674290,16178,192,-0.116,0.648,0.531,0.526,hypo,Block:14142
chr19,8681460,8686840,5381,56,-0.163,0.695,0.504,0.532,hypo,Block:14143
chr19,8737676,8864315,126640,863,-0.145,0.657,0.494,0.506,hypo,Block:14144
chr19,8874614,8882530,7917,3,-0.17,0.772,0.69,0.8,hypo,Block:14145
chr19,8892877,8902796,9920,33,-0.086,0.842,0.403,0.436,hypo,Block:14146
chr19,8948662,9246107,297446,1861,-0.188,0.695,0.512,0.516,hypo,Block:14147
chr19,9281811,9412868,131058,758,-0.152,0.785,0.52,0.523,hypo,Block:14148
chr19,9440310,9467944,27635,152,-0.079,0.875,0.566,0.573,hypo,Block:14149
chr19,9483907,9509579,25673,121,-0.172,0.777,0.487,0.511,hypo,Block:14150
chr19,9549380,9601926,52547,214,-0.169,0.745,0.429,0.439,hypo,Block:14151
chr19,9617072,9642388,25317,132,-0.077,0.803,0.466,0.456,hypo,Block:14152
chr19,9697512,9713721,16210,77,-0.089,0.62,0.467,0.489,hypo,Block:14153
chr19,9742945,9749059,6115,42,-0.05,0.879,0.455,0.427,hypo,Block:14154
chr19,9793298,9862498,69201,377,-0.111,0.837,0.462,0.467,hypo,Block:14155
chr19,9967137,10018863,51727,497,-0.174,0.759,0.477,0.479,hypo,Block:14156
chr19,10032684,10046799,14116,147,-0.093,0.458,0.452,0.446,hypo,Block:14157
chr19,10047537,10120672,73136,680,-0.138,0.572,0.48,0.497,hypo,Block:14158
chr19,10121251,10138292,17042,135,-0.065,0.491,0.489,0.519,hypo,Block:14159
chr19,10138705,10194094,55390,469,-0.136,0.674,0.529,0.522,hypo,Block:14160
chr19,10312160,10337343,25184,210,-0.105,0.742,0.495,0.496,hypo,Block:14161
chr19,10385286,10397561,12276,140,0.085,0.321,0.516,0.52,hyper,Block:14162
chr19,10413901,10421721,7821,142,-0.058,0.745,0.513,0.501,hypo,Block:14163
chr19,10446163,10459135,12973,120,-0.072,0.652,0.477,0.48,hypo,Block:14164
